Series code,Series name
EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)"
EN.ATM.CO2E.PC,CO2 emissions per capita (metric tons)
EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)"
EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)"
EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)"
NY.GDP.MKTP.CD,GDP ($)
NY.GDP.PCAP.CD,GDP per capita (current US$)
NY.GNP.PCAP.CD,GNI per capita (Atlas $)
SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population)
SP.POP.TOTL,Population
